epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0204,0,98.1299,0,0,0,0,0,0,24.2951,0,0,0,0
2,16.8156,0,98.1534,0,0,0,0,0,0,24.3087,0,1.9604e-05,1.9604e-05,1.9604e-05
3,24.2859,0,97.5336,0,0,0,0,0,0,24.3237,0,3.8416e-05,3.8416e-05,3.8416e-05
4,32.6083,0,96.9936,0,0,0,0,0,0,24.3418,0,5.6436e-05,5.6436e-05,5.6436e-05
5,38.0761,0,96.2518,0,0,0,0,0,0,24.3565,0,7.3664e-05,7.3664e-05,7.3664e-05
6,44.7808,0,95.8133,0,0,0,0,0,0,24.3672,0,9.01e-05,9.01e-05,9.01e-05
7,50.2115,0,95.1523,0,0,0,0,0,0,24.3778,0,0.000105744,0.000105744,0.000105744
8,55.5161,0,94.671,0,0,0,0,0,0,24.3934,0,0.000120596,0.000120596,0.000120596
9,61.619,0,94.0092,0,0,0,0,0,0,24.4172,0,0.000134656,0.000134656,0.000134656
10,67.0573,0,93.5268,0,0,0,0,0,0,24.4502,0,0.000147924,0.000147924,0.000147924
11,72.4718,0,92.8409,0,0,0,0,0,0,24.4974,0,0.0001604,0.0001604,0.0001604
12,78.0365,0,92.0969,0,0,0,0,0,0,24.5537,0,0.000172084,0.000172084,0.000172084
13,83.6333,0,91.3539,0,0,0,0,0,0,24.6119,0,0.000182976,0.000182976,0.000182976
14,88.884,0,90.3048,0,0,0,0,0,0,24.6662,0,0.000193076,0.000193076,0.000193076
15,94.7295,0,89.2995,0,0,0,0,0,0,24.7062,0,0.000202384,0.000202384,0.000202384
16,100.132,0,88.1077,0,0,0,0,0,0,24.7217,0,0.0002109,0.0002109,0.0002109
17,106.703,0,86.9334,0,0,0,0,0,0,24.7106,0,0.000218624,0.000218624,0.000218624
18,114.265,0,85.5031,0,0,0,0,0,0,24.7106,0,0.000225556,0.000225556,0.000225556
19,119.874,0,85.3306,0,0,0,0,0,0,24.6663,0,0.000231696,0.000231696,0.000231696
20,125.159,0,83.992,0,0,0,0,0,0,24.6663,0,0.000237044,0.000237044,0.000237044
21,131.01,0,83.9291,0,0,0,0,0,0,24.5614,0,0.0002416,0.0002416,0.0002416
22,136.718,0,82.3189,0,0,0,0,0,0,24.5614,0,0.000245364,0.000245364,0.000245364
23,141.939,0,82.037,0,0,0,0,0,0,24.4002,0,0.000248336,0.000248336,0.000248336
24,147.447,0,80.7169,0,0,0,0,0,0,24.4002,0,0.000250516,0.000250516,0.000250516
25,152.872,0,80.5543,0,0,0,0,0,0,24.1815,0,0.000251904,0.000251904,0.000251904
26,158.709,0,78.114,0,0,0,0,0,0,24.1815,0,0.0002525,0.0002525,0.0002525
27,164.5,0,78.6131,0,0,0,0,0,0,24.0398,0,0.000252304,0.000252304,0.000252304
28,169.854,0,76.675,0,0,0,0,0,0,24.0398,0,0.000251316,0.000251316,0.000251316
29,175.044,0,76.7655,0,0,0,0,0,0,23.929,0,0.000249536,0.000249536,0.000249536
30,180.198,0,75.4562,0,0,0,0,0,0,23.929,0,0.000246964,0.000246964,0.000246964
31,185.605,0,74.8375,0,0,0,0,0,0,23.8677,0,0.0002436,0.0002436,0.0002436
32,191.245,0,73.8136,0,0,0,0,0,0,23.8677,0,0.000239444,0.000239444,0.000239444
33,196.504,0,73.4666,0,0,0,0,0,0,23.7551,0,0.000234496,0.000234496,0.000234496
34,201.661,0,72.2009,0,0,0,0,0,0,23.7551,0,0.000228756,0.000228756,0.000228756
35,207.486,0,73.868,0,0,0,0,0,0,23.6731,0,0.000222224,0.000222224,0.000222224
36,212.77,0,71.3683,0,0,0,0,0,0,23.6731,0,0.0002149,0.0002149,0.0002149
37,218.577,0,71.5652,0,0,0,0,0,0,23.4577,0,0.000206784,0.000206784,0.000206784
38,224.225,0,70.4808,0,0,0,0,0,0,23.4577,0,0.000197876,0.000197876,0.000197876
39,229.777,0,70.4658,0,0,0,0,0,0,23.2703,0,0.000188176,0.000188176,0.000188176
40,236.154,0,69.9915,0,0,0,0,0,0,23.2703,0,0.000177684,0.000177684,0.000177684
41,241.661,0,69.8172,0,0,0,0,0,0,23.1798,0,0.0001664,0.0001664,0.0001664
42,246.781,0,68.8729,0,0,0,0,0,0,23.1798,0,0.000154324,0.000154324,0.000154324
43,251.84,0,69.0738,0,0,0,0,0,0,23.2024,0,0.000141456,0.000141456,0.000141456
44,256.827,0,68.3404,0,0,0,0,0,0,23.2024,0,0.000127796,0.000127796,0.000127796
45,261.91,0,68.4079,0,0,0,0,0,0,23.188,0,0.000113344,0.000113344,0.000113344
46,267.332,0,68.031,0,0,0,0,0,0,23.188,0,9.81e-05,9.81e-05,9.81e-05
47,272.847,0,68.0034,0,0,0,0,0,0,22.9946,0,8.2064e-05,8.2064e-05,8.2064e-05
48,277.912,0,67.6421,0,0,0,0,0,0,22.9946,0,6.5236e-05,6.5236e-05,6.5236e-05
49,283.244,0,67.5853,0,0,0,0,0,0,22.7979,0,4.7616e-05,4.7616e-05,4.7616e-05
50,288.416,0,67.2663,0,0,0,0,0,0,22.7979,0,2.9204e-05,2.9204e-05,2.9204e-05
